Method,Url,User-Agent,Pragma,Cache-Control,Accept,Accept-Encoding,Accept-Charset,Accept-Language,Host,Cookie,Content-Type,Connection,Content-Length
GET,"http://localhost:8080/tienda1/index.jsp HTTP/1.1
"," no-cache
"," no-cache
"," text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5
"," x-gzip, x-deflate, gzip, deflate
"," utf-8, utf-8;q=0.5, *;q=0.5
"," en
"," localhost:8080
"," JSESSIONID=2FD23C615C78447F7206BA5F0500564C
",""," close
",""
GET,"http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=minthorn&password=ahorquillado&nombre=Isra%E9l&apellidos=Luna+Barberan&email=pouyet%40mcrspain.mh&dni=83073375C&direccion=Calle+Pamplona%2C+26+&ciudad=Arrankudiaga&cp=49740&provincia=Huesca&ntc=2656905158370014&B1=Registrar HTTP/1.1
"," Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
"," no-cache
"," no-cache
"," text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5
"," x-gzip, x-deflate, gzip, deflate
"," utf-8, utf-8;q=0.5, *;q=0.5
"," en
"," localhost:8080
"," JSESSIONID=EB0F1BE74F65CBFB341BBBB5FCA1EF7C
",""," close
",""
